size,Triton,Torch
1048576.000000,546.133347,512.000001
2097152.000000,682.666643,682.666643
4194304.000000,728.177767,819.200021
8388608.000000,789.590371,928.970954
16777216.000000,929.588674,992.969689
33554432.000000,1000.549669,1036.142269
67108864.000000,1147.238544,1139.756496
134217728.000000,1307.451380,1291.349733
268435456.000000,1404.656434,1385.173049
536870912.000000,1459.721346,1439.363040
1073741824.000000,1488.133444,1463.764941
