n,Triton,Torch
32.000000,1.333333,1.667752
64.000000,5.333333,6.400000
128.000000,21.333333,18.285714
256.000000,83.591839,36.571428
512.000000,227.555548,204.800005
1024.000000,546.133347,515.017706
2048.000000,728.177767,821.446142
4096.000000,929.588674,1000.549669
8192.000000,1147.434674,1137.284193
